StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Salary
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced,0.0
48,7.0,1,1,0,62,4.3,No,Yes,59,67,NotPlaced,0.0
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,Placed,555013.0
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced,0.0
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced,0.0
52,8.2,1,3,0,65,4.1,Yes,No,66,65,NotPlaced,0.0
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,Placed,608816.0
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced,0.0
55,6.5,0,2,1,72,4.5,No,No,57,69,NotPlaced,0.0
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,Placed,386069.0
57,8.0,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced,0.0
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,Placed,450687.0
59,8.0,1,1,0,86,4.2,No,No,55,83,NotPlaced,0.0
60,6.6,0,1,0,76,3.9,No,Yes,78,69,Placed,413789.0
61,7.7,2,2,0,86,4.0,Yes,Yes,79,64,NotPlaced,0.0
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,Placed,653006.0
63,7.2,1,2,0,74,4.1,No,No,70,65,NotPlaced,0.0
64,6.6,1,2,1,72,4.1,No,No,55,75,NotPlaced,0.0
65,7.6,1,2,0,77,4.6,Yes,No,84,67,NotPlaced,0.0
66,8.0,0,3,0,68,4.2,Yes,No,64,83,Placed,482292.0
67,7.8,2,3,2,87,4.8,Yes,No,90,83,NotPlaced,0.0
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced,0.0
69,7.7,1,1,0,74,4.1,No,Yes,57,68,Placed,524209.0
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced,0.0
71,7.5,1,1,1,69,4.3,No,Yes,71,76,NotPlaced,0.0
72,6.7,0,2,1,79,4.1,No,No,78,67,NotPlaced,0.0
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,Placed,598985.0
74,7.5,1,2,0,73,4.4,No,No,66,84,NotPlaced,0.0
75,7.4,2,1,0,75,4.2,No,Yes,65,84,NotPlaced,0.0
76,6.5,1,1,0,63,4.5,No,Yes,57,68,NotPlaced,0.0
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,Placed,532117.0
78,6.9,1,1,0,83,3.5,No,Yes,61,71,NotPlaced,0.0
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,Placed,392371.0
80,7.6,1,2,1,72,3.9,No,Yes,58,66,NotPlaced,0.0
81,6.6,1,1,1,69,3.6,No,Yes,55,72,NotPlaced,0.0
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,Placed,350834.0
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced,0.0
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,Placed,550271.0
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,Placed,481050.0
86,6.7,1,3,0,87,4.6,Yes,No,81,69,NotPlaced,0.0
87,8.1,0,2,1,84,3.8,No,No,71,68,NotPlaced,0.0
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,Placed,641665.0
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,Placed,549494.0
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced,0.0
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced,0.0
92,7.1,1,1,0,70,3.3,No,No,55,66,NotPlaced,0.0
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,Placed,723954.0
94,7.4,1,3,0,83,4.2,No,Yes,65,82,NotPlaced,0.0
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced,0.0
96,7.5,0,1,1,75,3.3,No,Yes,61,73,NotPlaced,0.0
97,7.5,1,1,0,64,4.0,No,No,73,66,NotPlaced,0.0
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed,353907.0
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed,741841.0
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced,0.0
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced,0.0
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced,0.0
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced,0.0
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced,0.0
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced,0.0
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed,386076.0
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced,0.0
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced,0.0
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed,448731.0
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed,429143.0
111,8.0,1,1,3,84,4.0,No,Yes,57,61,NotPlaced,0.0
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced,0.0
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced,0.0
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed,746735.0
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced,0.0
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced,0.0
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed,324188.0
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced,0.0
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced,0.0
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced,0.0
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed,504734.0
122,8.0,1,1,1,68,4.2,No,Yes,59,66,NotPlaced,0.0
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed,763201.0
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced,0.0
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced,0.0
126,7.7,1,2,0,73,4.0,No,Yes,65,75,Placed,320093.0
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced,0.0
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced,0.0
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced,0.0
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed,703731.0
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed,710252.0
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced,0.0
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed,325679.0
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced,0.0
135,8.0,0,1,0,60,4.0,No,No,57,70,NotPlaced,0.0
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced,0.0
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed,756138.0
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed,484847.0
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced,0.0
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed,362969.0
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced,0.0
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed,587598.0
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed,382308.0
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced,0.0
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed,528488.0
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed,371353.0
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced,0.0
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed,493716.0
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced,0.0
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,NotPlaced,0.0
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed,358718.0
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed,323810.0
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed,383817.0
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed,337554.0
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced,0.0
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed,701463.0
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed,370053.0
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced,0.0
159,7.8,0,1,1,72,4.0,No,No,61,69,NotPlaced,0.0
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced,0.0
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced,0.0
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,NotPlaced,0.0
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced,0.0
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed,454675.0
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed,394748.0
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced,0.0
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced,0.0
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed,594170.0
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced,0.0
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced,0.0
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced,0.0
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced,0.0
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced,0.0
174,8.0,1,1,1,78,4.4,No,No,66,68,NotPlaced,0.0
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed,610547.0
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced,0.0
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced,0.0
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed,402674.0
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced,0.0
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced,0.0
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed,460428.0
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed,582417.0
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced,0.0
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced,0.0
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced,0.0
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced,0.0
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced,0.0
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced,0.0
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced,0.0
190,6.8,1,1,0,78,4.3,No,No,61,62,NotPlaced,0.0
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed,436456.0
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed,654216.0
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced,0.0
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed,686252.0
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced,0.0
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced,0.0
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced,0.0
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed,469514.0
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed,517200.0
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced,0.0
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed,616593.0
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed,485291.0
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced,0.0
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed,393825.0
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed,630579.0
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced,0.0
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced,0.0
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed,543974.0
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed,743818.0
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed,675283.0
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced,0.0
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced,0.0
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced,0.0
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced,0.0
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced,0.0
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced,0.0
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced,0.0
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced,0.0
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed,364236.0
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed,552378.0
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced,0.0
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed,572934.0
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced,0.0
224,7.9,2,3,2,90,4.8,Yes,No,81,78,NotPlaced,0.0
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed,586769.0
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced,0.0
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed,391113.0
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed,593831.0
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced,0.0
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed,402143.0
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced,0.0
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced,0.0
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced,0.0
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced,0.0
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced,0.0
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,NotPlaced,0.0
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced,0.0
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced,0.0
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed,516100.0
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced,0.0
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced,0.0
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced,0.0
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced,0.0
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced,0.0
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed,730680.0
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced,0.0
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed,703003.0
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced,0.0
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced,0.0
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced,0.0
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced,0.0
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced,0.0
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced,0.0
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed,600452.0
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced,0.0
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced,0.0
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed,460222.0
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced,0.0
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed,469645.0
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced,0.0
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced,0.0
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed,715105.0
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed,404807.0
264,6.5,1,3,0,80,3.7,No,No,59,66,NotPlaced,0.0
265,7.4,1,1,0,88,4.5,No,Yes,76,71,Placed,381439.0
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed,368264.0
267,6.8,2,2,2,80,4.6,No,Yes,61,69,NotPlaced,0.0
268,8.0,1,2,1,76,4.5,No,Yes,68,75,NotPlaced,0.0
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed,452815.0
270,6.6,1,2,1,65,4.1,No,No,56,58,NotPlaced,0.0
271,8.4,1,2,0,79,3.8,No,Yes,60,64,NotPlaced,0.0
272,7.8,1,1,1,79,3.7,No,Yes,56,59,NotPlaced,0.0
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced,0.0
274,6.8,1,1,0,73,3.7,No,Yes,55,65,NotPlaced,0.0
275,7.3,1,2,1,71,4.7,No,No,59,57,NotPlaced,0.0
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed,582869.0
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced,0.0
278,7.3,1,2,1,79,3.8,No,Yes,58,73,NotPlaced,0.0
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed,706999.0
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed,314330.0
281,8.3,2,3,1,90,4.8,Yes,No,55,80,Placed,354259.0
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced,0.0
283,8.2,1,1,2,86,4.4,No,No,76,82,NotPlaced,0.0
284,8.5,0,2,0,81,3.2,No,Yes,55,63,NotPlaced,0.0
285,8.0,0,1,1,87,3.8,No,Yes,55,71,NotPlaced,0.0
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced,0.0
287,7.7,1,1,2,82,4.4,No,No,55,70,NotPlaced,0.0
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed,576234.0
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced,0.0
290,8.5,0,2,2,75,4.5,Yes,No,76,83,Placed,410765.0
291,8.8,1,2,2,90,4.8,Yes,No,75,88,Placed,501097.0
292,6.5,2,3,1,82,4.6,Yes,No,83,63,NotPlaced,0.0
293,7.5,0,1,1,80,4.2,Yes,No,84,64,NotPlaced,0.0
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced,0.0
295,7.7,0,1,0,79,4.8,No,Yes,58,71,NotPlaced,0.0
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed,700996.0
297,7.5,0,2,0,69,3.6,No,No,61,59,NotPlaced,0.0
298,6.8,1,1,0,68,4.3,No,Yes,65,69,NotPlaced,0.0
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced,0.0
300,8.4,2,3,3,82,4.5,Yes,No,82,85,Placed,606546.0
301,7.5,1,1,0,67,3.4,No,No,65,71,NotPlaced,0.0
302,8.1,1,3,0,70,4.8,Yes,No,71,72,NotPlaced,0.0
303,7.4,1,1,1,64,4.0,No,No,55,62,NotPlaced,0.0
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed,661168.0
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed,328699.0
306,8.0,1,2,1,80,4.3,No,Yes,71,61,NotPlaced,0.0
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed,469083.0
308,6.8,0,1,0,77,3.3,No,No,64,69,NotPlaced,0.0
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed,658627.0
310,7.4,1,2,1,75,4.3,No,Yes,55,85,NotPlaced,0.0
311,7.6,1,1,0,66,4.1,No,Yes,62,73,NotPlaced,0.0
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced,0.0
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed,387612.0
314,8.2,1,3,2,90,4.3,No,Yes,77,82,Placed,467024.0
315,6.5,1,1,0,79,3.6,No,Yes,55,64,NotPlaced,0.0
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed,516042.0
317,7.5,1,2,1,85,4.1,No,Yes,71,84,NotPlaced,0.0
318,6.6,0,1,1,67,4.3,No,Yes,56,65,NotPlaced,0.0
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed,572920.0
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced,0.0
321,7.5,0,2,1,66,4.5,No,Yes,61,71,Placed,543149.0
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed,764991.0
323,7.9,2,1,0,71,4.8,No,Yes,56,66,NotPlaced,0.0
324,8.2,0,2,0,85,4.1,Yes,No,57,70,NotPlaced,0.0
325,7.2,1,2,0,69,4.0,No,Yes,55,61,NotPlaced,0.0
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed,479453.0
327,6.5,1,1,1,78,3.9,No,Yes,67,73,Placed,432239.0
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed,722690.0
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed,547393.0
330,7.7,1,1,0,80,4.0,No,Yes,55,66,NotPlaced,0.0
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed,602951.0
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced,0.0
333,7.4,2,3,0,86,4.6,Yes,Yes,75,72,Placed,653538.0
334,8.6,1,3,2,81,4.8,Yes,Yes,71,82,Placed,338565.0
335,8.0,1,2,1,88,3.6,No,Yes,69,69,NotPlaced,0.0
336,7.8,1,3,1,89,4.6,Yes,Yes,73,79,Placed,730346.0
337,8.1,1,3,2,90,4.7,Yes,No,72,87,Placed,319955.0
338,7.2,1,2,0,83,4.5,No,Yes,74,69,NotPlaced,0.0
339,8.4,2,3,2,87,4.8,Yes,Yes,78,88,Placed,656129.0
340,8.4,0,3,2,85,4.6,Yes,Yes,90,79,NotPlaced,0.0
341,8.3,0,3,1,88,4.7,Yes,Yes,69,80,NotPlaced,0.0
342,7.2,0,2,1,66,3.9,No,No,67,69,NotPlaced,0.0
343,8.6,2,3,2,90,4.8,Yes,Yes,77,86,Placed,625066.0
344,7.9,2,1,0,73,4.2,No,No,56,71,NotPlaced,0.0
345,6.6,1,1,2,81,4.8,Yes,No,68,71,NotPlaced,0.0
346,7.1,1,1,1,63,3.6,No,Yes,58,68,NotPlaced,0.0
347,7.8,0,3,0,90,4.7,Yes,Yes,72,69,Placed,433261.0
348,6.6,1,1,1,81,4.0,No,No,73,72,NotPlaced,0.0
349,6.5,2,3,0,79,3.7,Yes,Yes,68,86,NotPlaced,0.0
350,7.5,2,1,0,83,4.6,Yes,No,58,81,NotPlaced,0.0
351,7.5,1,2,0,70,3.7,No,Yes,55,66,NotPlaced,0.0
352,7.8,0,2,2,74,4.6,Yes,Yes,58,60,NotPlaced,0.0
353,6.6,1,2,0,71,4.0,No,No,55,68,Placed,573580.0
354,7.4,1,2,0,72,4.3,No,Yes,55,62,NotPlaced,0.0
355,7.8,1,3,2,77,4.2,Yes,No,77,82,NotPlaced,0.0
356,8.2,2,3,2,90,4.8,Yes,Yes,89,84,Placed,492624.0
